Episode 143 	 Cost: 38.0284 	 Latency: 3.1435s 	 Energy: 0.3515J 	 Load: 1.5% 	 Act:[Loc:0% MEC:20% Rem:21% Cld:59%]
Episode 144 	 Cost: 41.9382 	 Latency: 3.3854s 	 Energy: 0.3467J 	 Load: 1.6% 	 Act:[Loc:0% MEC:19% Rem:24% Cld:57%]
Episode 145 	 Cost: 49.2270 	 Latency: 3.8569s 	 Energy: 0.3055J 	 Load: 1.4% 	 Act:[Loc:0% MEC:18% Rem:19% Cld:63%]
Episode 146 	 Cost: 51.2062 	 Latency: 4.0038s 	 Energy: 0.3472J 	 Load: 0.0% 	 Act:[Loc:0% MEC:21% Rem:13% Cld:66%]
Episode 147 	 Cost: 38.8332 	 Latency: 3.1928s 	 Energy: 0.2523J 	 Load: 0.8% 	 Act:[Loc:0% MEC:19% Rem:17% Cld:64%]
Episode 148 	 Cost: 33.5459 	 Latency: 2.8438s 	 Energy: 0.2308J 	 Load: 1.9% 	 Act:[Loc:0% MEC:19% Rem:16% Cld:65%]
Episode 149 	 Cost: 42.0163 	 Latency: 3.4192s 	 Energy: 0.2561J 	 Load: 1.2% 	 Act:[Loc:0% MEC:18% Rem:34% Cld:48%]
Episode 150 	 Cost: 44.6982 	 Latency: 3.6109s 	 Energy: 0.3251J 	 Load: 0.0% 	 Act:[Loc:0% MEC:19% Rem:19% Cld:62%]
Episode 151 	 Cost: 53.8629 	 Latency: 4.1612s 	 Energy: 0.4569J 	 Load: 0.8% 	 Act:[Loc:0% MEC:20% Rem:14% Cld:66%]
Episode 152 	 Cost: 56.6126 	 Latency: 4.4069s 	 Energy: 0.4670J 	 Load: 0.0% 	 Act:[Loc:0% MEC:20% Rem:27% Cld:53%]
Episode 153 	 Cost: 40.5642 	 Latency: 3.3459s 	 Energy: 0.3111J 	 Load: 0.0% 	 Act:[Loc:0% MEC:17% Rem:27% Cld:55%]
Episode 154 	 Cost: 49.2639 	 Latency: 3.8530s 	 Energy: 0.3810J 	 Load: 0.7% 	 Act:[Loc:0% MEC:19% Rem:17% Cld:64%]
Episode 155 	 Cost: 39.7007 	 Latency: 3.2513s 	 Energy: 0.2526J 	 Load: 0.9% 	 Act:[Loc:0% MEC:19% Rem:21% Cld:59%]
Episode 156 	 Cost: 40.6884 	 Latency: 3.3243s 	 Energy: 0.4129J 	 Load: 1.8% 	 Act:[Loc:0% MEC:20% Rem:22% Cld:58%]
Episode 157 	 Cost: 54.1841 	 Latency: 4.1807s 	 Energy: 0.4233J 	 Load: 0.0% 	 Act:[Loc:0% MEC:19% Rem:21% Cld:60%]
Episode 158 	 Cost: 79.6413 	 Latency: 5.9033s 	 Energy: 0.2766J 	 Load: 0.0% 	 Act:[Loc:0% MEC:21% Rem:52% Cld:27%]
Episode 159 	 Cost: 50.1540 	 Latency: 3.9326s 	 Energy: 0.4200J 	 Load: 0.0% 	 Act:[Loc:0% MEC:21% Rem:15% Cld:64%]
Episode 160 	 Cost: 39.2378 	 Latency: 3.2057s 	 Energy: 0.3062J 	 Load: 0.4% 	 Act:[Loc:0% MEC:19% Rem:20% Cld:60%]
